english,hsk_level,chinese,pinyin
Plants absorb minerals and other nutrients from the soil.,2,植物从泥土中吸收矿物质和其他养料。,zhí wù zòng ní tǔ zhòng xī shōu kuàng wù zhì huò qí tā yǎng liào。
I guess there are much less people in the Arctic regions than here.,2,我想北极地区的人要比这里的少得多。,wǒ xiǎng běi jí dì qū de rén yào bì zhè lǐ de shào de duō。
We agreed with his acute analysis of the political situation.,2,我们都同意他对政治形势的深刻分析。,wǒ men dōu tóng yì tā duì zhèng zhì xíng shì de shēn kè fēn xī。
The government has promised to take measures to help the unemployed.,2,政府已答应采取措施来帮助失业者。,zhèng fǔ yǐ dā ying cǎi qǔ cuò shī lái bāng zhù shī yè zhě。
We protect the interests of investors by the legislation in effect.,2,我们根据有效法律保护投资者的利益。,wǒ men gēn jù yǒu xiào fǎ lu:4 bǎo hù tóu zī zhě de lì yì。
Match your skill against the experts in this quiz.,2,在这一测验中你与专家较量一下技巧吧。,zài zhè yī cè yàn zhòng nǐ yù zhuān jiā jiào liàng yī xià jì qiǎo ba。
It's quite an effort to lift this heavy box.,2,抬起这只沉重的箱子要花费相当大的力气。,tái qǐ zhè zhǐ chén zhòng de xiāng zǐ yào huā fèi xiāng dāng dà de lì qi。
The government has promised to take measures to help the unemployed.,2,政府已答应采取措施来帮助失业者。,zhèng fǔ yǐ dā ying cǎi qǔ cuò shī lái bāng zhù shī yè zhě。
Such waste of money should be deprecated at a time like this.,2,在这种时候应大力反对如此浪费金钱。,zài zhè zhǒng shí hou yìng dà lì fǎn duì rú cǐ làng fèi jīn qián。
Life can be likened to a journey with an unknown destination.,2,生命可以被比作一次不知目的地的旅行。,shēng mìng kě yǐ bèi bì zuò yī cì bù zhī mù dì dì de lu:3 xíng。
He cleaned his hands in the cold water from the tap.,2,他用自来水龙头流出的凉水把手洗干净。,tā yòng zì lái shuǐ lóng tóu liú chū de liáng shuǐ bǎ shǒu xǐ gān jìng。
There's a good A-road going North -- the A1.,2,有一条良好的A级公路通往北方--A级1号公路.,yǒu yī tiáo liáng hǎo deA jí gōng lù tōng wàng běi fāng--A jí1 hào gōng lù.
Mass literacy was only possible after the invention of printing.,2,发明了印刷术后文化教育才得以普及。,fā míng le yìn shuà zhú hòu wén huà jiào yù cái dé yǐ pǔ jí。
A few young children are straggling along behind their parents.,2,几个孩子跟不上父母的步子，落在后面。,jǐ ge hái zi gēn bù shàng fù mǔ de bù zi， luò zài hòu miàn。
It was thoughtful of you to warn me of your arrival.,2,你来之前先通知我，真是考虑得很周到。,nǐ lái zhī qián xiān tōng zhī wǒ， zhēn shì kǎo lu:4 de hěn zhōu dào。
Addressed or distributed to a large number of persons.,2,供传阅的，流通的宣扬或发送给大批人的,gòng zhuàn yuè de， liú tōng de xuān yáng huò fā sòng jǐ dà pī rén de
The children ducked each other in the swimming pool.,2,孩子们在游泳池里互相把对方按入水中。,hái zi men zài yóu yǒng chí lǐ hù xiāng bǎ duì fāng àn rù shuǐ zhòng。
"In considering this problem, you should grasp its essentials.",2,在考虑这一问题时，你应当抓住实质。,zài kǎo lu:4 zhè yī wèn tí shí， nǐ yīng dāng zhuā zhù shí zhì。
The necessary outcome of a war is a fall in production.,2,战争带来的必然结果就是生产力下降。,zhàn zhēng dài lái de bì rán jié guǒ jiù shì shēng chǎn lì xià jiàng。
I wish he would refrain from scattering his ash all over the carpet.,2,我希望他不要将烟灰往地毯上乱弹。,wǒ xī wàng tā bù yào jiàng yān huī wàng dì tǎn shàng luàn tán。
The village hall is given over to civic functions and meetings.,2,村子的礼堂专作举行庆典和会议之用.,cūn zi de lǐ táng zhuān zuò jǔ xíng qìng diǎn huò huì yì zhī yòng.
At last I succeeded in getting my car moving slowly.,2,最后，我终于成功地让我的车子慢慢移动。,zuì hòu， wǒ zhōng yú chéng gōng de ràng wǒ de jū zi màn màn yí dòng。
"If the tree fall that way, it will destroy the house.",2,这棵树向那边倒下就会把那所房子压坏。,zhè kē shù xiàng nà bian dào xià jiù kuài bǎ nà suǒ fáng zi yà huài。
She recognized the potential for error in the method being used.,2,她意识到在所采用的方法中可能出错.,tā yì shí dào zài suǒ cǎi yòng de fāng fǎ zhòng kě néng chū cuò.
No reference books are to be taken out of the reading room without permission.,2,本阅览室的参考书不得私自带出。,běn yuè lǎn shì de cān kǎo shū bù dé sī zì dài chū。
The dance girl is quite at home in front of strangers.,2,那个跳舞女郎在生人面前没一点紧张。,nèi gè tiào wǔ nu:3 láng zài shēng rén miàn qián mò yī diǎn jǐn zhāng。
In proportion to the number of students we should build 3 dining rooms.,2,"按学生人数, 我们应该建三个餐厅。","àn xué sheng rén shù,  wǒ men yīng gāi jiàn sān gè cān tīng。"
He never goes out but he drops in at that bookstore.,2,他每次外出都会顺道去那家书店待一会儿。,tā měi cì wài chū dū huì shùn dào qù nà jiā shū diàn dài yī huìr。
"Look away dear, the sight is not fit for your eyes.",2,亲爱的，把脸转过去，这场面不适合你看。,qīn ài de， bǎ liǎn zhuàn guò qu， zhè chǎng miàn bù shì hé nǐ kàn。
The entire population was mobilized to watch for forest fires.,2,全体居民都动员起来，防止森林火灾。,quán tǐ jū mín dōu dòng yuán qǐ lai， fáng zhǐ sēn lín huǒ zāi。
The enemy's defenses were strong but our soldiers broke through.,2,"敌人的防线很坚强, 但仍为我军突破。","dí rén de fáng xiàn hěn jiān qiáng,  dàn réng wèi wǒ jūn tū pò。"
The teacher asked the students to retell the story they just read.,2,老师要求学生们复述他们刚读的故事。,lǎo shī yāo qiú xué sheng men fù shù tā men gāng dú de gù shì。
Much of the information you have gleaned is of no practical use.,2,你收集到的大部分情报没有实用价值。,nǐ shōu jí dào de dà bù fen qíng bào méi yǒu shí yòng jià zhí。
"As things stand, we won't finish the job on time.",2,据目前情况看，我们不能按时完成任务了。,jù mù qián qíng kuàng kàn， wǒ men bù néng àn shí wán chéng rèn wu le。
"He added a brief postscript to his speech, giving the latest figures.",2,他演讲完又补充说了一些最新数字。,tā yǎn jiǎng wán yòu bǔ chōng shuō le yī xiē zuì xīn shù zì。
I'm going shopping because I need to buy some daily necessities.,2,我要去购物，因为我需要买些日用品。,wǒ yào qù gòu wù， yīn wèi wǒ xū yào mǎi xiē rì yòng pǐn。
"He added a brief postscript to his speech, giving the latest figures.",2,他演讲完又补充说了一些最新数字。,tā yǎn jiǎng wán yòu bǔ chōng shuō le yī xiē zuì xīn shù zì。
I consider it a great honor to be invited to dinner.,2,我认为能被邀请参加晚宴是很大的荣幸。,wǒ rèn wéi néng bèi yāo qǐng cān jiā wǎn yàn shì hěn dà de róng xìng。
"My darling, come over the street to that shop to buy some soy.",2,亲爱的，过街到那个商店去买些酱油。,qīn ài de， guò jiē dào nèi gè shāng diàn qù mǎi xiē jiàng yóu。
He has a bee in his bonnet about health foods.,2,他对于保健食品有他自己的一套奇怪的看法。,tā duì yú bǎo jiàn shí pǐn yǒu tā zì jǐ de yī tào qí guài de kàn fǎ。
The undercarriage on light aircraft does not always retract in flight.,2,轻型飞机飞行时起落架不一定缩回.,qīng xíng fēi jī fēi xíng shí qǐ luò jià bù yī dìng suō huí.
An international conference will be held in Beijing next month.,2,一个国际性的会议下月将在北京举行。,yī gè guó jì xìng de huì yì xià yuè jiàng zài Běi jīng jǔ xíng。
He made a resolution to read something profitable for one hour every day.,2,他下决心每天要读一小时有益读物。,tā xià jué xīn měi tiān yào dú yī xiǎo shí yǒu yì dú wù。
I don't know the words of the song but I can hum it to you.,2,"我不知道这首歌的歌词, 但我可以哼给你听.","wǒ bù zhī dào zhè shǒu gē de gē cí,  dàn wǒ kě yǐ hng jǐ nǐ tìng."
I think we've just about exhausted that subject.,2,我认为我们对这一问题已差不多是言无不尽了.,wǒ rèn wéi wǒ men duì zhè yī wèn tí yǐ cī bù duō shì yán wú bù jìn le.
His death is a lamentable loss of our work.,2,他的死对我们的工作来说是令人悲痛的损失。,tā de sǐ duì wǒ men de gōng zuò lái shuō shì lìng rén bēi tòng de sǔn shī。
He will in no wise give up any chances to get a better job.,2,他不会放弃任何机会以获得一份好工作。,tā bù huì fàng qì rèn hé jī huì yǐ huò dé yī fèn hào gōng zuò。
"Since she is seriously ill, we have to send for a doctor at once.",2,"既然她病得厉害, 我们要马上去请医生。","jì rán tā bìng de lì hai,  wǒ men yào mǎ shàng qù qǐng yī shēng。"
Such waste of money should be deprecated at a time like this.,2,在这种时候应大力反对如此浪费金钱。,zài zhè zhǒng shí hou yìng dà lì fǎn duì rú cǐ làng fèi jīn qián。
I am aggrieved to find that someone has used my toothbrush.,2,我发现有人用过我的牙刷，我很不高兴。,wǒ fā xiàn yǒu rén yòng guò wǒ de yá shuā， wǒ hěn bù gāo xìng。
We have lost contact with him since he left last summer.,2,"自从他去年夏天离去, 我们就失去了联系。","zì cóng tā qù nián xià tiān lí qù,  wǒ men jiù shī qù le lián xì。"
He didn't relish the prospect of having to explain his behavior.,2,他不喜欢对他自己的所作所为作出解释。,tā bù xǐ huan duì tā zì jǐ de suǒ zuò suǒ wèi zuò chū jiě shì。
How we shall carry out this plan still needs to be discussed.,2,我们将怎样贯彻这个计划仍需要讨论。,wǒ men jiàng zěn yàng guàn chè zhè gè jì huà réng xū yào tǎo lùn。
"He chose Germany, but personally I'd prefer to go to Spain.",2,他选择了德国，而我个人倒更喜欢西班牙。,tā xuǎn zé le Dé guó， ér wǒ gè rén dào gèng xǐ huan xī bān yá。
People don't have central heating in their houses in my country.,2,"在我国, 一般人家里没有集中供热设备.","zài wǒ guó,  yī bān rén jiā lǐ méi yǒu jí zhōng gòng rè shè bèi."
More and more students are majoring in the science of business management.,2,越来越多的大学生主修企业管理学。,yuè lái yuè duō de dà xué sheng zhǔ xiū qǐ yè guǎn lǐ xué。
"She gulped nervously, as if the question bothered her.",2,她紧张地咽了一下，似乎那问题把她难住了。,tā jǐn zhāng de yè le yī xià， sì hu nà wèn tí bǎ tā nàn zhù le。
Many women throw all of their energies into a career.,2,许多妇女把她们的全部精力投入到职业中。,xǔ duō fù nu:3 bǎ tā men de quán bù jīng lì tóu rù dào zhí yè zhòng。
She left the small island and became famous in metropolitan France.,2,她离开小岛而在法国的大都市中成名。,tā lí kāi xiǎo dǎo ér zài fǎ guó de dà dū shì zhòng chéng míng。
After that we further consolidated and expanded our army.,2,之后我们进一步巩固和扩大了我们的军队。,zhī hòu wǒ men jìn yí bù gǒng gù huò kuò dà le wǒ men de jūn duì。
The local artists will hold an exhibition on the landmark.,2,当地画家将要在这个风景点举办展览。,dāng dì huà jiā jiāng yào zài zhè gè fēng jǐng diǎn jǔ bàn zhǎn lǎn。
It is difficult to relate cause and effect in this case.,2,这个案件中的动机与效果很难联系起来。,zhè gè àn jiàn zhòng dì dòng jī yù xiào guǒ hěn nàn lián xì qǐ lai。
Our professor asked him to write a treatise on the subject.,2,我们的教授要求他就这个课题写篇论文。,wǒ men de jiào shòu yāo qiú tā jiù zhè gè kè tí xiě piān lùn wén。
This heating system has an automatic temperature control.,2,这个暖气系统有自动化的温度调节系统。,zhè gè nuǎn qì xì tǒng yǒu zì dòng huà de wēn dù tiáo jié xì tǒng。
We listened to their tales about life in the Sahara Desert.,2,我们听他们讲述撒哈拉沙漠的生活经历。,wǒ men tìng tā men jiǎng shù sǎ hǎ lā shā mò de shēng huó jīng lì。
"Although I got up with a headache, I went to work as usual.",2,尽管早上起来头疼，我还是照常上班。,jǐn guǎn zǎo shang qǐ lai tóu téng， wǒ hái shì zhào cháng shàng bān。
I can't read the inscription on this stone because it's getting dark.,2,天黑了，我看不见这块石头上的碑文。,tiān hēi le， wǒ kàn bù jiàn zhè kuài shí tou shàng de bēi wén。
"You made me look so small, correcting me in front of everybody.",2,"你当众纠正我的错误, 弄得我很难为情.","nǐ dāng zhòng jiū zhèng wǒ de cuò wù,  nòng de wǒ hěn nàn wèi qíng."
"I'm talking offhand, simply speaking my mind.",2,我这是信口开河，随便谈谈脑子里想的东西。,wǒ zhè shì xìn kǒu kāi hé， suí biàn tán tán nǎo zi lǐ xiǎng de dōng xi。
"Before he gets to the workshop, the machine has been put in motion.",2,在他到达车间之前，机器已经开动了。,zài tā dào dá chē jiān zhī qián， jī qì yǐ jīng kāi dòng le。
These styles can be adapted to suit individual tastes.,2,这些式样均可改动以适应个人不同的爱好.,zhè xie shì yàng jūn kě gǎi dòng yǐ shì yìng gè rén bù tóng de ài hào.
He shut himself away for a month to catch up on his academic work.,2,他与世隔绝一个月，力图把功课赶上去。,tā yù shì gé jué yī gè yuè， lì tú bǎ gōng kè gǎn shàng qù。
The shop is cashed in on temporary shortage by raising price.,2,商店趁一时缺货而提高价格从中获利。,shāng diàn chèn yī shí quē huò ér tí gāo jià gé cóng zhōng huò lì。
He gave his name to a well-known brand of frozen food.,2,他以自己的名字命名的冷冻食品成了名牌。,tā yǐ zì jǐ de míng zi mìng míng de lěng dòng shí pǐn chéng le míng pái。
"Be there on time, otherwise you'll create a bad impression.",2,要准时来，否则你会给人一个坏的印象。,yào zhǔn shí lái， fǒu zé nǐ kuài jǐ rén yī gè huài de yìn xiàng。
I was proceeding along the High Street in a northerly direction when...,2,"我那时正沿著大街向北去, 走著走著....","wǒ nà shí zhèng yàn著 dà jiē xiàng běi qù,  zǒu著 zǒu著...."
"In this period, unemployment reaches record levels.",2,这段时间的失业人数又达到了创纪录水平。,zhè duàn shí jiān de shī yè rén shù yòu dá dào le chuàng jì lù shuǐ píng。
The government should not waste money supporting lame ducks.,2,政府不应浪费资金去扶持那些无望的企业.,zhèng fǔ bù yìng làng fèi zī jīn qù fú chí nà xiē wú wàng de qǐ yè.
He pressed me profound in his respecting and loving to his mother.,2,他对他的母亲的敬爱给了我深刻的印象。,tā duì tā de mǔ qīn de jìng ài jǐ le wǒ shēn kè de yìn xiàng。
She play a notable role in compile the book.,2,在编写这本书的过程中，她起了显著的作用。,zài biān xiě zhè běn shū de guò chéng zhòng， tā qǐ le xiǎn著 de zuò yòng。
He pressed me profound in his respecting and loving to his mother.,2,他对他的母亲的敬爱给了我深刻的印象。,tā duì tā de mǔ qīn de jìng ài jǐ le wǒ shēn kè de yìn xiàng。
Anyone touching that wire could get badly shocked.,2,任何人碰到那根电线都会遭到严重的电击。,rèn hé rén pèng dào nà gēn diàn xiàn dū huì zāo dào yán zhòng de diàn jī。
They countered our proposal with one of their own.,2,他们针对我们的建议提出了一项相反的建议.,tā men zhēn duì wǒ men de jiàn yì tí chū le yí xiàng xiāng fǎn de jiàn yì.
The director took her accustomed place at the end of the table.,2,局长坐在桌子一端她惯常坐的位置上。,jú zhǎng zuò zài zhuō zi yī duān tā guàn cháng zuò de wèi zhi shàng。
The Forbidden City is one of the world's greatest works of architecture.,2,紫禁城是世界上最伟大的建筑之一。,zǐ jìn chéng shì shì jiè shàng zuì wěi dà de jiàn zhù zhī yī。
Cross talks are an art form people love to see and hear.,2,相声这种艺术形式让老百姓喜闻乐见。,xiàng shēng zhè zhǒng yì shù xíng shì ràng lǎo bǎi xìng xǐ wén yuè xiàn。
The revolution set the country on the road to democracy.,2,这场革命把国家引上了通往民主的道路。,zhè chǎng gé mìng bǎ guó jiā yǐn shàng le tōng wàng mín zhǔ de dào lù。
Animals in zoos are not in their natural surroundings.,2,动物园里的动物不是生活在自然环境中。,dòng wù yuán lǐ de dòng wù bú shì shēng huó zài zì rán huán jìng zhòng。
Let's suppose a Mr So-and-so registers at the hotel.,2,"咱们打个比方吧, 有个某某先生来旅馆登记.","zán men dǎ gè bǐ fang ba,  yǒu gè mǒu mǒu xiān sheng lái lu:3 guǎn dēng jì."
There is a heterogeneous mass of papers in the teacher's office.,2,老师的办公室里堆满了大批不同的论文。,lǎo shī de bàn gōng shì lǐ duī mǎn le dà pī bù tóng de lùn wén。
The revolution set the country on the road to democracy.,2,这场革命把国家引上了通往民主的道路。,zhè chǎng gé mìng bǎ guó jiā yǐn shàng le tōng wàng mín zhǔ de dào lù。
"She was always optimistic, even when things were at their worst.",2,她即使在最糟糕的时候也总是非常乐观.,tā jí shǐ zài zuì zāo gāo de shí hou yě zǒng shì fēi cháng lè guān.
He likes to talk big as though he was an important person.,2,他老爱说大话，就仿佛他是一位要人似的。,tā lǎo ài shuō dà huà， jiù fǎng fú tā shì yī wèi yào rén sì de。
You will strain your eyes by reading in such poor light.,2,你在这样弱的光线下看书会损伤视力的。,nǐ zài zhè yàng ruò de guāng xiàn xià kàn shū kuài sǔn shāng shì lì de。
The brave man risk his life in trying to save the child.,2,那位勇敢的人冒著生命危险试图救那孩子。,nà wèi yǒng gǎn de rén mào著 shēng mìng wēi xiǎn shì tú jiù nà hái zi。
The government has taken a measure to maintain the stability of prices.,2,政府已经采取了措施以确保物价稳定。,zhèng fǔ yǐ jīng cǎi qǔ le cuò shī yǐ què bǎo wù jià wěn dìng。
"I don't care about the price, so long as the car is in good condition.",2,我不计较价钱，只要车很好用就行了。,wǒ bù jì jiào jià qian， zhǐ yào jū hěn hǎo yòng jiù xìng le。
The little girl is so lovely that I call her a sprite.,2,这个小女孩太可爱了，我把她叫做小精灵。,zhè gè xiǎo nu:3 hái tài kě ài le， wǒ bǎ tā jiào zuò xiǎo jīng líng。
The little girl is so lovely that I call her a sprite.,2,这个小女孩太可爱了，我把她叫做小精灵。,zhè gè xiǎo nu:3 hái tài kě ài le， wǒ bǎ tā jiào zuò xiǎo jīng líng。
Our future plans have to mesh with the present practices.,2,我们未来的计划必须与当前的实际相结合。,wǒ men wèi lái de jì huà bì xū yù dāng qián de shí jì xiàng jié hé。
Such values are central to our way of life.,2,这些价值对于我们的生活方式是至关重要的。,zhè xie jià zhí duì yú wǒ men de shēng huó fāng shì shì zhì guān zhòng yào de。
Our future plans have to mesh with the present practices.,2,我们未来的计划必须与当前的实际相结合。,wǒ men wèi lái de jì huà bì xū yù dāng qián de shí jì xiàng jié hé。
Money is being used in place of something more direct.,2,金钱正在被更直接地用来取代某种东西。,jīn qián zhèng zài bèi gèng zhí jiē de yòng lái qǔ dài mǒu zhǒng dōng xi。
I will go on with my work unless I get the order to the contrary.,2,我将继续工作直到我得到相反的命令。,wǒ jiàng jì xù gōng zuò zhí dào wǒ dé dào xiāng fǎn de mìng lìng。
The load must be weighed before it is put in the washing-machine.,2,要洗的衣物须称过重量再放入洗衣机中.,yào xǐ de yì wù xū chèng guò zhòng liàng zài fàng rù xǐ yì jī zhòng.
The circumstances were not propitious for further expansion of the company.,2,这些情况不利于公司的进一步发展。,zhè xie qíng kuàng bù lì yú gōng sī de jìn yí bù fā zhǎn。
"I'll forgive you this time, but you shall by no means make the mistake again.",2,"我这次就原谅你,你可不许再犯错误。","wǒ zhè cì jiù yuán liàng nǐ, nǐ kě bù xǔ zài fàn cuò wù。"
He tricked me this time but I'll get back at him one day.,2,"这次他欺骗了我, 但总有一天我会报复他的。","zhè cì tā qī piàn le wǒ,  dàn zǒng yǒu yī tiān wǒ kuài bào fù tā de。"
This church is a classic example of medieval architecture.,2,这座教堂是中世纪建筑风格的典型实例。,zhè zuò jiào táng shì zhòng shì jì jiàn zhù fēng gé de diǎn xíng shí lì。
The teacher laid emphasis on the precision of the translation from the outset.,2,老师从一开始就强调翻译准确性。,lǎo shī zòng yī kāi shǐ jiù qiáng diào fān yì zhǔn què xìng。
I advise you not to cooperate with that deceitful businessman.,2,我建议你不要和那个不诚实的商人合作。,wǒ jiàn yì nǐ bù yào huò nèi gè bù chéng shí de shāng rén hé zuò。
The teacher laid emphasis on the precision of the translation from the outset.,2,老师从一开始就强调翻译准确性。,lǎo shī zòng yī kāi shǐ jiù qiáng diào fān yì zhǔn què xìng。
They were waiting with assurance for me to discover the truth for myself.,2,他们自信地等待我自己发现事实真相。,tā men zì xìn de děng dài wǒ zì jǐ fā xiàn shì shí zhēn xiàng。
The Church should give more of a lead on basic moral issues.,2,教会应当就基本道德问题多做出些榜样.,jiào huì yīng dāng jiù jī běn dào dé wèn tí duō zuò chū xiē bǎng yàng.
It's said by forecast that the humidity in the air today is 60%.,2,据预报说今天的空气湿度是百分之六十。,jù yù bào shuō jīn tiān de kōng qì shī dù shì bǎi fēn zhī liù shí。
We can tailor the insurance policy according to your special needs.,2,我们可以根据你的特殊需要设计保险单。,wǒ men kě yǐ gēn jù nǐ de tè shū xū yào shè jì bǎo xiǎn shàn。
The student of our class is not positively than those of their class.,2,我们班的学生比他们班的那些更不积极。,wǒ men bān de xué sheng bì tā men bān de nà xiē gèng bù jī jí。
Jane craned her neck to look for her mother in the crowd.,2,简伸长脖子张望，在人群中找她的母亲。,jiǎn shēn cháng bó zi zhāng wàng， zài rén qún zhòng zhǎo tā de mǔ qīn。
"In this period, unemployment reaches record levels.",2,这段时间的失业人数又达到了创纪录水平。,zhè duàn shí jiān de shī yè rén shù yòu dá dào le chuàng jì lù shuǐ píng。
"If the fire-alarm goes, staff should assemble outside the building.",2,火警警报响时全体人员应到楼外集合.,huǒ jǐng jǐng bào xiǎng shí quán tǐ rén yuán yìng dào lóu wài jí hé.
She shows a total disregard for other people and their feelings.,2,她显然丝毫也不顾及别人以及别人的感情.,tā xiǎn ran sī háo yě bù gù jí bié rén yǐ jí bié rén de gǎn qíng.
The President always has six bodyguards in close attendance.,2,总统有六名警卫员时时刻刻在左右保卫.,zǒng tǒng yǒu liù míng jǐng wèi yuán shí shí kè kè zài zuǒ yòu bǎo wèi.
I can assure you that your son will be happy here.,2,我可以向你保证，你儿子在这里会很快乐的。,wǒ kě yǐ xiàng nǐ bǎo zhèng， nǐ ér zi zài zhè lǐ kuài hěn kuài yuè de。
Taking pills is easy; just put them in your mouth and swallow.,2,"服用药片很容易, 只须放在口中咽下即可.","fú yòng yào piàn hěn róng yì,  zhǐ xū fàng zài kǒu zhòng yè xià jí kě."
We've put a great deal of time and effort into this project.,2,我们为这一项目付出了大量的时间和精力.,wǒ men wèi zhè yí xiàng mù fù chū le dà liàng de shí jiān huò jīng lì.
It took them more than one billion dollars to complete the project.,2,完成这个工程花费了他们十亿多美元。,wán chéng zhè gè gōng chéng huā fèi le tā men shí yì duō měi yuán。
I think we've just about exhausted that subject.,2,我认为我们对这一问题已差不多是言无不尽了.,wǒ rèn wéi wǒ men duì zhè yī wèn tí yǐ cī bù duō shì yán wú bù jìn le.
There is a clause in the contract forbidding tenants to sublet.,2,合同中有一条款禁止承租人转租房屋。,hé tong zhòng yǒu yī tiáo kuǎn jìn zhǐ chéng zū rén zhuàn zū fáng wū。
I conjure you most earnestly to reconsider your position.,2,我最诚恳地请求你重新考虑一下你的立场.,wǒ zuì chéng kěn de qǐng qiú nǐ chóng xīn kǎo lu:4 yī xià nǐ de lì chǎng.
She experienced a loss of identity after giving up her career to get married.,2,她放弃职业结婚以后有一种失落感。,tā fàng qì zhí yè jié hūn yǐ hòu yǒu yī zhòng shī luò gǎn。
"Love your enemies, for they tell you your faults.",2,爱你的敌人吧，因为他们让你知道自己的缺点。,ài nǐ de dí rén ba， yīn wèi tā men ràng nǐ zhī dào zì jǐ de quē diǎn。
Exercise is to the body what thinking is to the brain.,2,运动和身体的关系，如同思考和头脑的关系。,yùn dòng huò shēn tǐ de guān xi， rú tóng sī kǎo huò tóu nǎo de guān xi。
Our electrically-powered car is an exciting new development.,2,我们的电动汽车是一项令人鼓舞的新发明.,wǒ men de diàn dòng qì chē shì yí xiàng lìng rén gǔ wǔ de xīn fā míng.
He is famous not only for his talent but (also) for his kindness.,2,他不仅以才能出名，而且是出名的好心。,tā bù jǐn yǐ cái néng chū míng， ér qiě shì chū míng de hǎo xīn。
A high wall round the estate protected their privacy.,2,"庄园周围有一堵高墙, 使他们不受外界打扰.","zhuāng yuán zhōu wéi yǒu yī dǔ gāo qiáng,  shǐ tā men bù shòu wài jiè dǎ rǎo."
All this year's new models are displayed at the motor show.,2,汽车展览会上展出了今年所有的新型号。,qì chē zhǎn lǎn huì shàng zhǎn chū le jīn nián suǒ yǒu de xīn xíng hào。
Letters from viewers express their dissatisfaction with current programmes.,2,电视观众来信表示对当前节目不满.,diàn shì guān zhòng lái xìn biǎo shì duì dāng qián jié mù bù mǎn.
By and large the work of the news agency is appreciative.,2,一般而论这家新闻社的工作是让人感激的。,yì bān ér lùn zhè jiā xīn wén shè de gōng zuò shì ràng rén gǎn jī de。
"She sings beautifully; what is (far) better/more, she dances well.",2,她的歌声优美，此外，她的舞也跳得不错。,tā de gē shēng yōu měi， cǐ wài， tā de wǔ yě tiào de bù cuò。
The government has taken a measure to maintain the stability of prices.,2,政府已经采取了措施以确保物价稳定。,zhèng fǔ yǐ jīng cǎi qǔ le cuò shī yǐ què bǎo wù jià wěn dìng。
I lay down not so much to sleep as to think.,2,我躺下来与其说是要睡觉，倒不如说是要思考。,wǒ tǎng xia lai yǔ qí shuō shì yào shuì jiào， dào bù rú shuō shì yào sī kǎo。
The tight jumper only accentuated his fat stomach.,2,那件紧身套头毛衣反更突出了他那肥胖的肚子.,nà jiàn jǐn shēn tào tou máo yī fǎn gèng tū chū le tā nà féi pán de dù zi.
The poet expressed his burning passion for the woman he loved.,2,诗人表达了他对所爱的女子火一般的激情。,shī rén biǎo dá le tā duì suǒ ài de nu:3 zǐ huǒ yì bān de jī qíng。
"The experiment failed. It was, nevertheless, worth making.",2,试验没有成功，尽管如此，还是值得做的。,shì yàn méi yǒu chéng gōng， jǐn guǎn rú cǐ， hái shì zhí de zuò de。
"With a view to develop our business, we decided to establish a branch office.",2,"为发展业务, 我们决定开一家分公司。","wèi fā zhǎn yè wù,  wǒ men jué dìng kāi yī jiā fèn gōng sī。"
The country depends heavily on its tourist trade.,2,这个国家的经济在很大程度上依靠其旅游业。,zhè gè guó jiā de jīng jì zài hěn dà chéng dù shàng yī kào qí lu:3 yóu yè。
The new system has had a disastrous effect on productivity.,2,新制度已对生产力造成了灾难性的影响。,xīn zhì dù yǐ duì shēng chǎn lì zào chéng le zāi nàn xìng de yǐng xiǎng。
"Failure to say `No' may, by implication, be taken to mean `Yes'.",2,"没表示否定, 其含义可能理解为是肯定的.","mò biǎo shì fǒu dìng,  qí hán yì kě néng lǐ jiě wèi shì kěn dìng de."
They were waiting with assurance for me to discover the truth for myself.,2,他们自信地等待我自己发现事实真相。,tā men zì xìn de děng dài wǒ zì jǐ fā xiàn shì shí zhēn xiàng。
The role of the railways declined in the transport system.,2,在运输系统中，铁路的重要性逐渐下降。,zài yùn shū xì tǒng zhòng， tiě lù de zhòng yào xìng zhú jiàn xià jiàng。
The role of the railways declined in the transport system.,2,在运输系统中，铁路的重要性逐渐下降。,zài yùn shū xì tǒng zhòng， tiě lù de zhòng yào xìng zhú jiàn xià jiàng。
He comes to visit his aged parents after work on every Friday.,2,每个星期五下班后，他去看望年迈的父母。,měi gè xīng qī wǔ xià bān hòu， tā qù kàn wàng nián mài de fù mǔ。
It irritated me to have to shout to be heard.,2,我得大嚷大叫别人才能听见，我为此十分不快。,wǒ de dà rǎng dà jiào bié rén cái néng tīng jiàn， wǒ wèi cǐ shí fēn bù kuài。
The heating system has recently been modified to make it more efficient.,2,最近供暖设备已稍加改动以提高效率.,zuì jìn gòng nuǎn shè bèi yǐ shāo jiā gǎi dòng yǐ tí gāo xiào lu:4.
The three men were given work according to their respective abilities.,2,这三个人根据各自的能力被分配了工作。,zhè sān gè rén gēn jù gè zi de néng lì bèi fēn pèi le gōng zuò。
It will cause pollution and the destruction of our seas and oceans.,2,这会引起污染，破坏我们的海洋和江河。,zhè kuài yǐn qǐ wū rǎn， pò huài wǒ men de hǎi yáng huò jiāng hé。
These vegetables have been boiling too long; they're cooked to a pulp.,2,这些蔬菜煮的时间太长了，都煮成糊了。,zhè xie shū cài zhǔ de shí jiān tài cháng le， dōu zhǔ chéng hù le。
We have a standing invitation to visit them when we're in the area.,2,他们邀请我们将来到那里时去他们家做客.,tā men yāo qǐng wǒ men jiāng lái dào nà li shí qù tā men jiā zuò kè.
